id,date,cctv_1_image,cctv_2_image,cctv_3_image,sensor_1_value,sensor_2_value
267,2024-11-06 02:51:00,C:\images\cctv_1_20241106072300.jpg,C:\images\cctv_2_20241106072300.jpg,,40693.0,7.0
268,2024-11-06 04:19:00,C:\images\cctv_1_20241105183700.jpg,C:\images\cctv_2_20241105183700.jpg,C:\images\cctv_3_20241105183700.jpg,44497.0,8.0
269,2024-11-06 04:49:00,,,,36541.0,9.0
270,2024-11-06 04:50:00,C:\images\cctv_1_20241105225500.jpg,C:\images\cctv_2_20241105225500.jpg,C:\images\cctv_3_20241105225500.jpg,38377.0,10.0
271,2024-11-06 04:56:00,C:\images\cctv_1_20241106143000.jpg,C:\images\cctv_2_20241106143000.jpg,C:\images\cctv_3_20241106143000.jpg,35440.0,9.0
272,2024-11-06 05:06:00,C:\images\cctv_1_20241106050600.jpg,C:\images\cctv_2_20241106050600.jpg,C:\images\cctv_3_20241106050600.jpg,,8.0
273,2024-11-06 07:23:00,C:\images\cctv_1_20241105231600.jpg,C:\images\cctv_2_20241105231600.jpg,C:\images\cctv_3_20241105231600.jpg,37831.0,4.0
275,2024-11-06 07:43:00,C:\images\cctv_1_20241106150700.jpg,C:\images\cctv_2_20241106150700.jpg,C:\images\cctv_3_20241106150700.jpg,40633.0,8.0
276,2024-11-06 07:53:00,C:\images\cctv_1_20241106102200.jpg,C:\images\cctv_2_20241106102200.jpg,C:\images\cctv_3_20241106102200.jpg,39401.0,7.0
278,2024-11-06 09:16:00,C:\images\cctv_1_20241106100500.jpg,C:\images\cctv_2_20241106100500.jpg,C:\images\cctv_3_20241106100500.jpg,31476.0,4.0
280,2024-11-06 10:05:00,C:\images\cctv_1_20241106132700.jpg,C:\images\cctv_2_20241106132700.jpg,C:\images\cctv_3_20241106132700.jpg,39367.0,5.0
281,2024-11-06 10:22:00,,C:\images\cctv_2_20241106154800.jpg,,43865.0,5.0
282,2024-11-06 11:26:00,C:\images\cctv_1_20241105224700.jpg,C:\images\cctv_2_20241105224700.jpg,C:\images\cctv_3_20241105224700.jpg,44195.0,9.0
283,2024-11-06 11:34:00,C:\images\cctv_1_20241106013100.jpg,C:\images\cctv_2_20241106013100.jpg,C:\images\cctv_3_20241106013100.jpg,,8.0
286,2024-11-06 13:27:00,,C:\images\cctv_2_20241105223700.jpg,,,7.0
287,2024-11-06 14:29:00,,C:\images\cctv_2_20241105204000.jpg,C:\images\cctv_3_20241105204000.jpg,,7.0
288,2024-11-06 14:30:00,C:\images\cctv_1_20241106154700.jpg,C:\images\cctv_2_20241106154700.jpg,,43694.0,5.0
290,2024-11-06 15:29:00,C:\images\cctv_1_20241105224400.jpg,C:\images\cctv_2_20241105224400.jpg,C:\images\cctv_3_20241105224400.jpg,44329.0,6.0
291,2024-11-06 15:47:00,C:\images\cctv_1_20241105231300.jpg,C:\images\cctv_2_20241105231300.jpg,C:\images\cctv_3_20241105231300.jpg,,6.0
292,2024-11-06 15:48:00,,C:\images\cctv_2_20241106074100.jpg,C:\images\cctv_3_20241106074100.jpg,32501.0,10.0
293,2024-11-06 17:12:00,C:\images\cctv_1_20241107021900.jpg,C:\images\cctv_2_20241107021900.jpg,C:\images\cctv_3_20241107021900.jpg,,6.0
295,2024-11-06 19:18:00,C:\images\cctv_1_20241107070200.jpg,,C:\images\cctv_3_20241107070200.jpg,38604.0,4.0
296,2024-11-06 19:30:00,C:\images\cctv_1_20241107054500.jpg,C:\images\cctv_2_20241107054500.jpg,C:\images\cctv_3_20241107054500.jpg,38941.0,9.0
297,2024-11-06 20:10:00,C:\images\cctv_1_20241107000700.jpg,C:\images\cctv_2_20241107000700.jpg,,41059.0,4.0
299,2024-11-06 22:38:00,C:\images\cctv_1_20241107012700.jpg,C:\images\cctv_2_20241107012700.jpg,C:\images\cctv_3_20241107012700.jpg,44282.0,7.0
302,2024-11-06 23:45:00,C:\images\cctv_1_20241107030300.jpg,,C:\images\cctv_3_20241107030300.jpg,31772.0,7.0
303,2024-11-07 00:07:00,,C:\images\cctv_2_20241106171200.jpg,C:\images\cctv_3_20241106171200.jpg,43840.0,7.0
305,2024-11-07 00:37:00,C:\images\cctv_1_20241107112900.jpg,C:\images\cctv_2_20241107112900.jpg,,37571.0,4.0
306,2024-11-07 00:51:00,C:\images\cctv_1_20241107005100.jpg,C:\images\cctv_2_20241107005100.jpg,C:\images\cctv_3_20241107005100.jpg,43042.0,5.0
307,2024-11-07 01:27:00,C:\images\cctv_1_20241106191800.jpg,,C:\images\cctv_3_20241106191800.jpg,31181.0,4.0
308,2024-11-07 01:41:00,C:\images\cctv_1_20241106205900.jpg,C:\images\cctv_2_20241106205900.jpg,C:\images\cctv_3_20241106205900.jpg,39065.0,4.0
309,2024-11-07 02:00:00,,,C:\images\cctv_3_20241107155100.jpg,33263.0,6.0
312,2024-11-07 03:03:00,C:\images\cctv_1_20241107033200.jpg,,C:\images\cctv_3_20241107033200.jpg,,9.0
313,2024-11-07 03:13:00,,,C:\images\cctv_3_20241106233200.jpg,35974.0,10.0
314,2024-11-07 03:18:00,C:\images\cctv_1_20241107003700.jpg,C:\images\cctv_2_20241107003700.jpg,C:\images\cctv_3_20241107003700.jpg,44111.0,10.0
315,2024-11-07 03:32:00,C:\images\cctv_1_20241107104400.jpg,C:\images\cctv_2_20241107104400.jpg,C:\images\cctv_3_20241107104400.jpg,,9.0
316,2024-11-07 04:56:00,C:\images\cctv_1_20241107003600.jpg,,C:\images\cctv_3_20241107003600.jpg,,10.0
317,2024-11-07 05:45:00,C:\images\cctv_1_20241107110300.jpg,C:\images\cctv_2_20241107110300.jpg,,,9.0
318,2024-11-07 06:03:00,C:\images\cctv_1_20241107153900.jpg,,C:\images\cctv_3_20241107153900.jpg,41783.0,9.0
320,2024-11-07 06:50:00,,C:\images\cctv_2_20241107065000.jpg,C:\images\cctv_3_20241107065000.jpg,35392.0,9.0
321,2024-11-07 06:53:00,C:\images\cctv_1_20241107065300.jpg,C:\images\cctv_2_20241107065300.jpg,,33344.0,7.0
322,2024-11-07 06:58:00,C:\images\cctv_1_20241107070800.jpg,C:\images\cctv_2_20241107070800.jpg,,33897.0,9.0
323,2024-11-07 07:02:00,C:\images\cctv_1_20241106231300.jpg,C:\images\cctv_2_20241106231300.jpg,C:\images\cctv_3_20241106231300.jpg,30951.0,7.0
325,2024-11-07 07:34:00,,C:\images\cctv_2_20241107134600.jpg,C:\images\cctv_3_20241107134600.jpg,40056.0,9.0
326,2024-11-07 07:53:00,C:\images\cctv_1_20241107153300.jpg,C:\images\cctv_2_20241107153300.jpg,C:\images\cctv_3_20241107153300.jpg,43184.0,4.0
327,2024-11-07 10:44:00,C:\images\cctv_1_20241107065800.jpg,C:\images\cctv_2_20241107065800.jpg,C:\images\cctv_3_20241107065800.jpg,43992.0,8.0
328,2024-11-07 11:03:00,C:\images\cctv_1_20241107155900.jpg,C:\images\cctv_2_20241107155900.jpg,C:\images\cctv_3_20241107155900.jpg,,8.0
329,2024-11-07 11:29:00,,C:\images\cctv_2_20241107153500.jpg,C:\images\cctv_3_20241107153500.jpg,44538.0,9.0
330,2024-11-07 12:29:00,,,C:\images\cctv_3_20241107122900.jpg,,8.0
332,2024-11-07 12:52:00,,C:\images\cctv_2_20241107150000.jpg,C:\images\cctv_3_20241107150000.jpg,33779.0,7.0
334,2024-11-07 13:46:00,C:\images\cctv_1_20241107045600.jpg,C:\images\cctv_2_20241107045600.jpg,C:\images\cctv_3_20241107045600.jpg,,6.0
335,2024-11-07 14:01:00,C:\images\cctv_1_20241106201000.jpg,C:\images\cctv_2_20241106201000.jpg,C:\images\cctv_3_20241106201000.jpg,37205.0,6.0
337,2024-11-07 15:33:00,C:\images\cctv_1_20241107061400.jpg,,,31201.0,10.0
339,2024-11-07 15:39:00,C:\images\cctv_1_20241106234500.jpg,C:\images\cctv_2_20241106234500.jpg,C:\images\cctv_3_20241106234500.jpg,35049.0,4.0
341,2024-11-07 15:59:00,C:\images\cctv_1_20241107073400.jpg,C:\images\cctv_2_20241107073400.jpg,C:\images\cctv_3_20241107073400.jpg,36265.0,10.0
342,2024-11-07 16:14:00,C:\images\cctv_1_20241107021900.jpg,C:\images\cctv_2_20241107021900.jpg,C:\images\cctv_3_20241107021900.jpg,,5.0
343,2024-11-07 17:51:00,,C:\images\cctv_2_20241108024600.jpg,C:\images\cctv_3_20241108024600.jpg,43093.0,8.0
344,2024-11-07 18:50:00,C:\images\cctv_1_20241107205600.jpg,C:\images\cctv_2_20241107205600.jpg,,43611.0,5.0
347,2024-11-07 19:57:00,C:\images\cctv_1_20241108084400.jpg,C:\images\cctv_2_20241108084400.jpg,C:\images\cctv_3_20241108084400.jpg,39091.0,6.0
348,2024-11-07 20:17:00,C:\images\cctv_1_20241107205600.jpg,C:\images\cctv_2_20241107205600.jpg,C:\images\cctv_3_20241107205600.jpg,,8.0
351,2024-11-07 20:36:00,C:\images\cctv_1_20241107185000.jpg,C:\images\cctv_2_20241107185000.jpg,C:\images\cctv_3_20241107185000.jpg,34562.0,9.0
353,2024-11-07 20:56:00,C:\images\cctv_1_20241108062600.jpg,C:\images\cctv_2_20241108062600.jpg,C:\images\cctv_3_20241108062600.jpg,41646.0,8.0
354,2024-11-07 21:28:00,C:\images\cctv_1_20241107203600.jpg,C:\images\cctv_2_20241107203600.jpg,C:\images\cctv_3_20241107203600.jpg,,5.0
356,2024-11-07 22:32:00,C:\images\cctv_1_20241107203300.jpg,C:\images\cctv_2_20241107203300.jpg,C:\images\cctv_3_20241107203300.jpg,,4.0
357,2024-11-08 01:01:00,C:\images\cctv_1_20241108030300.jpg,,C:\images\cctv_3_20241108030300.jpg,41209.0,4.0
359,2024-11-08 01:25:00,,C:\images\cctv_2_20241108073900.jpg,C:\images\cctv_3_20241108073900.jpg,,5.0
360,2024-11-08 01:27:00,,C:\images\cctv_2_20241107212800.jpg,C:\images\cctv_3_20241107212800.jpg,40296.0,8.0
361,2024-11-08 02:21:00,C:\images\cctv_1_20241108062100.jpg,,C:\images\cctv_3_20241108062100.jpg,,10.0
362,2024-11-08 02:46:00,C:\images\cctv_1_20241108042600.jpg,C:\images\cctv_2_20241108042600.jpg,C:\images\cctv_3_20241108042600.jpg,34424.0,4.0
364,2024-11-08 04:00:00,C:\images\cctv_1_20241107202800.jpg,,C:\images\cctv_3_20241107202800.jpg,41547.0,5.0
365,2024-11-08 04:26:00,,C:\images\cctv_2_20241108054900.jpg,C:\images\cctv_3_20241108054900.jpg,38168.0,9.0
367,2024-11-08 05:49:00,C:\images\cctv_1_20241108082500.jpg,C:\images\cctv_2_20241108082500.jpg,C:\images\cctv_3_20241108082500.jpg,,5.0
368,2024-11-08 05:55:00,,C:\images\cctv_2_20241108010400.jpg,C:\images\cctv_3_20241108010400.jpg,32623.0,10.0
369,2024-11-08 06:21:00,C:\images\cctv_1_20241108012500.jpg,C:\images\cctv_2_20241108012500.jpg,C:\images\cctv_3_20241108012500.jpg,,4.0
370,2024-11-08 06:26:00,C:\images\cctv_1_20241108083200.jpg,C:\images\cctv_2_20241108083200.jpg,,42572.0,7.0
372,2024-11-08 07:14:00,,C:\images\cctv_2_20241108090900.jpg,C:\images\cctv_3_20241108090900.jpg,33633.0,8.0
373,2024-11-08 07:39:00,C:\images\cctv_1_20241108080500.jpg,,C:\images\cctv_3_20241108080500.jpg,37927.0,4.0
374,2024-11-08 07:45:00,C:\images\cctv_1_20241108135900.jpg,C:\images\cctv_2_20241108135900.jpg,C:\images\cctv_3_20241108135900.jpg,36531.0,6.0
376,2024-11-08 07:49:00,,C:\images\cctv_2_20241108044100.jpg,,32700.0,5.0
377,2024-11-08 08:05:00,C:\images\cctv_1_20241108074600.jpg,C:\images\cctv_2_20241108074600.jpg,C:\images\cctv_3_20241108074600.jpg,41747.0,5.0
378,2024-11-08 08:25:00,C:\images\cctv_1_20241108122700.jpg,C:\images\cctv_2_20241108122700.jpg,C:\images\cctv_3_20241108122700.jpg,,8.0
380,2024-11-08 08:32:00,C:\images\cctv_1_20241107175100.jpg,,C:\images\cctv_3_20241107175100.jpg,,7.0
383,2024-11-08 08:48:00,C:\images\cctv_1_20241108022100.jpg,,C:\images\cctv_3_20241108022100.jpg,33020.0,6.0
384,2024-11-08 09:09:00,C:\images\cctv_1_20241107191400.jpg,C:\images\cctv_2_20241107191400.jpg,C:\images\cctv_3_20241107191400.jpg,,6.0
386,2024-11-08 12:10:00,,C:\images\cctv_2_20241108121000.jpg,C:\images\cctv_3_20241108121000.jpg,,9.0
390,2024-11-08 14:40:00,C:\images\cctv_1_20241107195700.jpg,C:\images\cctv_2_20241107195700.jpg,C:\images\cctv_3_20241107195700.jpg,,4.0
392,2024-11-08 15:09:00,C:\images\cctv_1_20241108082500.jpg,C:\images\cctv_2_20241108082500.jpg,C:\images\cctv_3_20241108082500.jpg,,7.0
394,2024-11-08 18:42:00,C:\images\cctv_1_20241109133400.jpg,C:\images\cctv_2_20241109133400.jpg,C:\images\cctv_3_20241109133400.jpg,,5.0
395,2024-11-08 18:56:00,C:\images\cctv_1_20241109013300.jpg,,C:\images\cctv_3_20241109013300.jpg,42793.0,7.0
396,2024-11-08 19:20:00,C:\images\cctv_1_20241109035400.jpg,,C:\images\cctv_3_20241109035400.jpg,31485.0,8.0
397,2024-11-08 19:24:00,C:\images\cctv_1_20241108205900.jpg,C:\images\cctv_2_20241108205900.jpg,C:\images\cctv_3_20241108205900.jpg,39449.0,7.0
398,2024-11-08 19:34:00,C:\images\cctv_1_20241109114300.jpg,C:\images\cctv_2_20241109114300.jpg,C:\images\cctv_3_20241109114300.jpg,41101.0,10.0
402,2024-11-08 23:17:00,C:\images\cctv_1_20241109140200.jpg,C:\images\cctv_2_20241109140200.jpg,C:\images\cctv_3_20241109140200.jpg,,8.0
403,2024-11-09 00:02:00,C:\images\cctv_1_20241109154500.jpg,C:\images\cctv_2_20241109154500.jpg,C:\images\cctv_3_20241109154500.jpg,,5.0
404,2024-11-09 00:40:00,C:\images\cctv_1_20241109112400.jpg,C:\images\cctv_2_20241109112400.jpg,C:\images\cctv_3_20241109112400.jpg,,4.0
407,2024-11-09 01:33:00,C:\images\cctv_1_20241108231700.jpg,,C:\images\cctv_3_20241108231700.jpg,37459.0,6.0
408,2024-11-09 02:18:00,C:\images\cctv_1_20241109081100.jpg,C:\images\cctv_2_20241109081100.jpg,C:\images\cctv_3_20241109081100.jpg,31635.0,7.0
409,2024-11-09 02:33:00,C:\images\cctv_1_20241109071500.jpg,C:\images\cctv_2_20241109071500.jpg,C:\images\cctv_3_20241109071500.jpg,39078.0,4.0
411,2024-11-09 02:37:00,,C:\images\cctv_2_20241109084900.jpg,C:\images\cctv_3_20241109084900.jpg,38675.0,7.0
412,2024-11-09 03:14:00,C:\images\cctv_1_20241109004300.jpg,C:\images\cctv_2_20241109004300.jpg,C:\images\cctv_3_20241109004300.jpg,,10.0
413,2024-11-09 03:14:00,C:\images\cctv_1_20241108192400.jpg,C:\images\cctv_2_20241108192400.jpg,C:\images\cctv_3_20241108192400.jpg,34284.0,7.0
416,2024-11-09 03:54:00,C:\images\cctv_1_20241109093800.jpg,,C:\images\cctv_3_20241109093800.jpg,32269.0,10.0
417,2024-11-09 06:55:00,C:\images\cctv_1_20241109083700.jpg,C:\images\cctv_2_20241109083700.jpg,,,9.0
418,2024-11-09 07:15:00,C:\images\cctv_1_20241108212400.jpg,C:\images\cctv_2_20241108212400.jpg,C:\images\cctv_3_20241108212400.jpg,42653.0,9.0
419,2024-11-09 07:21:00,C:\images\cctv_1_20241108193400.jpg,,,30411.0,4.0
421,2024-11-09 07:54:00,C:\images\cctv_1_20241109123900.jpg,C:\images\cctv_2_20241109123900.jpg,C:\images\cctv_3_20241109123900.jpg,,9.0
422,2024-11-09 08:11:00,,C:\images\cctv_2_20241109145900.jpg,C:\images\cctv_3_20241109145900.jpg,,4.0
423,2024-11-09 08:30:00,C:\images\cctv_1_20241109031400.jpg,C:\images\cctv_2_20241109031400.jpg,C:\images\cctv_3_20241109031400.jpg,35981.0,5.0
426,2024-11-09 08:53:00,C:\images\cctv_1_20241109155300.jpg,C:\images\cctv_2_20241109155300.jpg,,,7.0
427,2024-11-09 09:16:00,C:\images\cctv_1_20241109031400.jpg,C:\images\cctv_2_20241109031400.jpg,C:\images\cctv_3_20241109031400.jpg,34191.0,10.0
428,2024-11-09 09:36:00,C:\images\cctv_1_20241109065500.jpg,C:\images\cctv_2_20241109065500.jpg,C:\images\cctv_3_20241109065500.jpg,43894.0,7.0
429,2024-11-09 09:38:00,C:\images\cctv_1_20241108184200.jpg,C:\images\cctv_2_20241108184200.jpg,,30879.0,9.0
430,2024-11-09 10:25:00,C:\images\cctv_1_20241109085300.jpg,,C:\images\cctv_3_20241109085300.jpg,42540.0,4.0
431,2024-11-09 10:40:00,C:\images\cctv_1_20241109012600.jpg,C:\images\cctv_2_20241109012600.jpg,,,5.0
432,2024-11-09 11:24:00,C:\images\cctv_1_20241109072100.jpg,C:\images\cctv_2_20241109072100.jpg,C:\images\cctv_3_20241109072100.jpg,37233.0,7.0
433,2024-11-09 11:43:00,C:\images\cctv_1_20241109104000.jpg,C:\images\cctv_2_20241109104000.jpg,C:\images\cctv_3_20241109104000.jpg,,4.0
434,2024-11-09 12:39:00,,C:\images\cctv_2_20241109091600.jpg,C:\images\cctv_3_20241109091600.jpg,42563.0,6.0
435,2024-11-09 12:42:00,C:\images\cctv_1_20241109083000.jpg,,,44307.0,10.0
439,2024-11-09 14:59:00,C:\images\cctv_1_20241109033300.jpg,C:\images\cctv_2_20241109033300.jpg,C:\images\cctv_3_20241109033300.jpg,,9.0
440,2024-11-09 15:45:00,C:\images\cctv_1_20241108211200.jpg,C:\images\cctv_2_20241108211200.jpg,,,6.0
441,2024-11-09 15:53:00,,C:\images\cctv_2_20241108181400.jpg,C:\images\cctv_3_20241108181400.jpg,43602.0,6.0
442,2024-11-09 16:29:00,,C:\images\cctv_2_20241109073400.jpg,,35199.0,7.0
443,2024-11-09 17:54:00,C:\images\cctv_1_20241109183300.jpg,,C:\images\cctv_3_20241109183300.jpg,38477.0,4.0
444,2024-11-09 18:10:00,,,C:\images\cctv_3_20241110111600.jpg,,7.0
445,2024-11-09 18:33:00,,C:\images\cctv_2_20241110045400.jpg,C:\images\cctv_3_20241110045400.jpg,,4.0
449,2024-11-09 20:32:00,C:\images\cctv_1_20241110152200.jpg,C:\images\cctv_2_20241110152200.jpg,C:\images\cctv_3_20241110152200.jpg,,8.0
451,2024-11-09 21:14:00,C:\images\cctv_1_20241110072300.jpg,C:\images\cctv_2_20241110072300.jpg,C:\images\cctv_3_20241110072300.jpg,40683.0,6.0
457,2024-11-09 23:25:00,C:\images\cctv_1_20241110064900.jpg,C:\images\cctv_2_20241110064900.jpg,C:\images\cctv_3_20241110064900.jpg,30627.0,4.0
458,2024-11-10 00:20:00,C:\images\cctv_1_20241110053100.jpg,C:\images\cctv_2_20241110053100.jpg,C:\images\cctv_3_20241110053100.jpg,,7.0
460,2024-11-10 01:41:00,,,C:\images\cctv_3_20241110103100.jpg,35606.0,9.0
462,2024-11-10 03:02:00,C:\images\cctv_1_20241110131300.jpg,C:\images\cctv_2_20241110131300.jpg,C:\images\cctv_3_20241110131300.jpg,43678.0,6.0
463,2024-11-10 03:04:00,,,C:\images\cctv_3_20241110020300.jpg,,5.0
464,2024-11-10 03:21:00,C:\images\cctv_1_20241109232500.jpg,,,38200.0,9.0
465,2024-11-10 03:23:00,C:\images\cctv_1_20241109181000.jpg,C:\images\cctv_2_20241109181000.jpg,C:\images\cctv_3_20241109181000.jpg,41193.0,6.0
466,2024-11-10 03:54:00,C:\images\cctv_1_20241110030200.jpg,,C:\images\cctv_3_20241110030200.jpg,,7.0
467,2024-11-10 04:54:00,C:\images\cctv_1_20241110030400.jpg,C:\images\cctv_2_20241110030400.jpg,,42405.0,10.0
468,2024-11-10 05:19:00,C:\images\cctv_1_20241109211400.jpg,,C:\images\cctv_3_20241109211400.jpg,33397.0,4.0
470,2024-11-10 06:20:00,,C:\images\cctv_2_20241110002000.jpg,C:\images\cctv_3_20241110002000.jpg,33846.0,5.0
471,2024-11-10 06:39:00,C:\images\cctv_1_20241110035400.jpg,,C:\images\cctv_3_20241110035400.jpg,,7.0
474,2024-11-10 07:18:00,,C:\images\cctv_2_20241110051900.jpg,C:\images\cctv_3_20241110051900.jpg,32755.0,10.0
475,2024-11-10 07:23:00,C:\images\cctv_1_20241110064900.jpg,C:\images\cctv_2_20241110064900.jpg,C:\images\cctv_3_20241110064900.jpg,43929.0,6.0
476,2024-11-10 07:23:00,,C:\images\cctv_2_20241109225400.jpg,C:\images\cctv_3_20241109225400.jpg,43643.0,5.0
477,2024-11-10 07:39:00,C:\images\cctv_1_20241109193500.jpg,C:\images\cctv_2_20241109193500.jpg,,,10.0
480,2024-11-10 10:31:00,C:\images\cctv_1_20241110111700.jpg,C:\images\cctv_2_20241110111700.jpg,,38969.0,10.0
482,2024-11-10 11:17:00,C:\images\cctv_1_20241110062000.jpg,C:\images\cctv_2_20241110062000.jpg,C:\images\cctv_3_20241110062000.jpg,,4.0
483,2024-11-10 11:41:00,C:\images\cctv_1_20241110090200.jpg,C:\images\cctv_2_20241110090200.jpg,,34703.0,8.0
486,2024-11-10 13:18:00,C:\images\cctv_1_20241110152400.jpg,C:\images\cctv_2_20241110152400.jpg,,40914.0,4.0
488,2024-11-10 15:08:00,C:\images\cctv_1_20241110005600.jpg,C:\images\cctv_2_20241110005600.jpg,C:\images\cctv_3_20241110005600.jpg,44865.0,7.0
489,2024-11-10 15:08:00,C:\images\cctv_1_20241110084200.jpg,C:\images\cctv_2_20241110084200.jpg,C:\images\cctv_3_20241110084200.jpg,37503.0,10.0
490,2024-11-10 15:22:00,C:\images\cctv_1_20241110133200.jpg,C:\images\cctv_2_20241110133200.jpg,C:\images\cctv_3_20241110133200.jpg,33060.0,6.0
491,2024-11-10 15:22:00,C:\images\cctv_1_20241109214400.jpg,C:\images\cctv_2_20241109214400.jpg,C:\images\cctv_3_20241109214400.jpg,30170.0,8.0
492,2024-11-10 15:24:00,,C:\images\cctv_2_20241110130200.jpg,C:\images\cctv_3_20241110130200.jpg,31641.0,4.0
494,2024-11-10 17:35:00,C:\images\cctv_1_20241110202100.jpg,C:\images\cctv_2_20241110202100.jpg,C:\images\cctv_3_20241110202100.jpg,,6.0
496,2024-11-10 18:05:00,C:\images\cctv_1_20241111155800.jpg,C:\images\cctv_2_20241111155800.jpg,C:\images\cctv_3_20241111155800.jpg,,6.0
497,2024-11-10 18:49:00,C:\images\cctv_1_20241110173500.jpg,C:\images\cctv_2_20241110173500.jpg,C:\images\cctv_3_20241110173500.jpg,32012.0,7.0
498,2024-11-10 19:18:00,C:\images\cctv_1_20241111163900.jpg,C:\images\cctv_2_20241111163900.jpg,,37494.0,5.0
499,2024-11-10 20:21:00,C:\images\cctv_1_20241111145700.jpg,,C:\images\cctv_3_20241111145700.jpg,42139.0,8.0
500,2024-11-10 20:46:00,C:\images\cctv_1_20241110214000.jpg,C:\images\cctv_2_20241110214000.jpg,C:\images\cctv_3_20241110214000.jpg,,10.0
501,2024-11-10 20:46:00,,C:\images\cctv_2_20241111154600.jpg,C:\images\cctv_3_20241111154600.jpg,,10.0
502,2024-11-10 21:04:00,C:\images\cctv_1_20241111050400.jpg,C:\images\cctv_2_20241111050400.jpg,C:\images\cctv_3_20241111050400.jpg,32654.0,6.0
503,2024-11-10 21:40:00,C:\images\cctv_1_20241111084700.jpg,C:\images\cctv_2_20241111084700.jpg,C:\images\cctv_3_20241111084700.jpg,33747.0,9.0
504,2024-11-10 23:10:00,C:\images\cctv_1_20241110191800.jpg,C:\images\cctv_2_20241110191800.jpg,,30334.0,5.0
505,2024-11-10 23:10:00,C:\images\cctv_1_20241111082600.jpg,C:\images\cctv_2_20241111082600.jpg,,37542.0,7.0
506,2024-11-10 23:17:00,C:\images\cctv_1_20241111074800.jpg,C:\images\cctv_2_20241111074800.jpg,,41523.0,4.0
507,2024-11-11 01:00:00,C:\images\cctv_1_20241111035100.jpg,C:\images\cctv_2_20241111035100.jpg,C:\images\cctv_3_20241111035100.jpg,38154.0,8.0
508,2024-11-11 01:06:00,C:\images\cctv_1_20241111010600.jpg,,C:\images\cctv_3_20241111010600.jpg,34706.0,5.0
509,2024-11-11 01:15:00,,C:\images\cctv_2_20241110204600.jpg,C:\images\cctv_3_20241110204600.jpg,43107.0,5.0
510,2024-11-11 02:05:00,,C:\images\cctv_2_20241111115600.jpg,C:\images\cctv_3_20241111115600.jpg,33524.0,4.0
511,2024-11-11 02:13:00,C:\images\cctv_1_20241111160700.jpg,,,31152.0,4.0
512,2024-11-11 03:51:00,C:\images\cctv_1_20241110184900.jpg,C:\images\cctv_2_20241110184900.jpg,C:\images\cctv_3_20241110184900.jpg,34095.0,8.0
514,2024-11-11 04:10:00,C:\images\cctv_1_20241111130300.jpg,C:\images\cctv_2_20241111130300.jpg,C:\images\cctv_3_20241111130300.jpg,36383.0,8.0
515,2024-11-11 04:20:00,C:\images\cctv_1_20241111165500.jpg,C:\images\cctv_2_20241111165500.jpg,C:\images\cctv_3_20241111165500.jpg,40726.0,9.0
516,2024-11-11 04:42:00,C:\images\cctv_1_20241110180500.jpg,C:\images\cctv_2_20241110180500.jpg,C:\images\cctv_3_20241110180500.jpg,42822.0,6.0
518,2024-11-11 05:13:00,C:\images\cctv_1_20241111151500.jpg,C:\images\cctv_2_20241111151500.jpg,C:\images\cctv_3_20241111151500.jpg,43584.0,8.0
519,2024-11-11 07:48:00,C:\images\cctv_1_20241111042000.jpg,C:\images\cctv_2_20241111042000.jpg,C:\images\cctv_3_20241111042000.jpg,,5.0
520,2024-11-11 07:54:00,C:\images\cctv_1_20241110210400.jpg,,C:\images\cctv_3_20241110210400.jpg,40667.0,8.0
522,2024-11-11 08:38:00,,C:\images\cctv_2_20241110204600.jpg,,,4.0
523,2024-11-11 08:47:00,C:\images\cctv_1_20241111083800.jpg,C:\images\cctv_2_20241111083800.jpg,C:\images\cctv_3_20241111083800.jpg,,6.0
526,2024-11-11 11:14:00,C:\images\cctv_1_20241110231000.jpg,C:\images\cctv_2_20241110231000.jpg,,,9.0
529,2024-11-11 12:21:00,C:\images\cctv_1_20241110231000.jpg,C:\images\cctv_2_20241110231000.jpg,C:\images\cctv_3_20241110231000.jpg,44752.0,4.0
530,2024-11-11 13:00:00,,C:\images\cctv_2_20241111091800.jpg,,37676.0,10.0
531,2024-11-11 13:03:00,C:\images\cctv_1_20241111111400.jpg,C:\images\cctv_2_20241111111400.jpg,C:\images\cctv_3_20241111111400.jpg,,10.0
533,2024-11-11 14:37:00,,C:\images\cctv_2_20241111044200.jpg,C:\images\cctv_3_20241111044200.jpg,39310.0,8.0
534,2024-11-11 14:57:00,,C:\images\cctv_2_20241111122100.jpg,C:\images\cctv_3_20241111122100.jpg,,8.0
535,2024-11-11 14:57:00,,C:\images\cctv_2_20241111165900.jpg,C:\images\cctv_3_20241111165900.jpg,,4.0
536,2024-11-11 15:15:00,C:\images\cctv_1_20241111051300.jpg,,C:\images\cctv_3_20241111051300.jpg,35317.0,6.0
537,2024-11-11 15:46:00,C:\images\cctv_1_20241111041000.jpg,C:\images\cctv_2_20241111041000.jpg,C:\images\cctv_3_20241111041000.jpg,37899.0,6.0
539,2024-11-11 16:07:00,C:\images\cctv_1_20241110231700.jpg,C:\images\cctv_2_20241110231700.jpg,C:\images\cctv_3_20241110231700.jpg,39669.0,10.0
541,2024-11-11 16:55:00,C:\images\cctv_1_20241111095100.jpg,C:\images\cctv_2_20241111095100.jpg,C:\images\cctv_3_20241111095100.jpg,41526.0,5.0
